fornitore,categoria,prezzo_unitario,quantita,data_atto_negoziale
Siare Engineering S.r.l.,Servizi,179200.0,0,2020-03-07
Siare Engineering S.r.l.,Ventilatori polmonari,9950.0,1360,2020-03-07
Siare Engineering S.r.l.,Ventilatori polmonari,8840.0,640,2020-03-07
Siare Engineering S.r.l.,Servizi,1120000.0,0,2020-03-07
Montrasio Italia S.r.l.,Maschere,0.08,27000000,2020-03-08
SED Trading GmbH,Maschere,2.75,3000000,2020-03-11
Imagro S.p.A.,Maschere,0.595,4000000,2020-03-12
Omnia S.p.A.,Maschere,0.25382899999999997,11100,2020-03-13
Stark Solution S.r.l.,Termoscanner,13000.0,2,2020-03-13
Silk Road Global Information Limited,Ventilatori polmonari,19000.0,140,2020-03-13
Beijing Tus Data Asset co. LTD,Maschere,2.5,5000000,2020-03-15
GVS S.p.A.,Maschere,5.35,40000,2020-03-14
GVS S.p.A.,Maschere,4.85,260000,2020-03-14
GVS S.p.A.,Maschere,2.8,10080,2020-03-17
BYD Auto Industry Company Limited,Maschere,0.298,18900000,2020-03-13
BYD Auto Industry Company Limited,Maschere,1.549,5000000,2020-03-13
BYD Auto Industry Company Limited,Maschere,0.298,126000000,2020-03-22
BYD Auto Industry Company Limited,Maschere,1.549,54000000,2020-03-22
China Meheco Corp.,Maschere,1.7,8000000,2020-03-15
China Meheco Corp,Maschere,1.7,20000000,2020-03-22
NANJING CHENWEI Equipment,Ventilatori polmonari,8000.0,100,2020-03-14
OBERALP S.p.A.,Maschere,0.4,10000000,2020-03-17
OBERALP S.p.A.,Maschere,1.33,5000000,2020-03-17
Sichuan Kemique International Limited,Maschere,0.68,5000000,2020-03-18
JC - Electronics Italia S.r.l.,Maschere,2.2,10000000,2020-03-18
Dz Medicale S.r.l.,Flussometri ossigenoterapia,31.5,200,2020-03-19
Dz Medicale S.r.l.,Flussometri ossigenoterapia,31.5,200,2020-03-19
Agmin Italy S.p.A.,Maschere,0.52,100000,2020-03-19
Agmin Italy S.p.A.,Maschere,0.75,101600,2020-03-19
Agmin Italy S.p.A.,Tute,16.43,4000,2020-03-19
IMSTec Gmbh,Maschere,3.1,450000,2020-03-19
IMSTec Gmbh,Maschere,0.89,450000,2020-03-19
Tokyo Medical Consulting Co Ltd,Maschere,1.6735099999999998,260000,2020-03-24
